codigo_zapimoveis,data_criacao,codigo_anunciante,imobiliaria,data_coleta,valor,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,numberOfSuites,PETS_ALLOWED,POOL,ELEVATOR,INTERCOM,PORCELAIN,BARBECUE_GRILL,SERVICE_AREA,LAVABO,KITCHEN,GYM,GARDEN,FURNISHED,GOURMET_KITCHEN,LUNCH_ROOM,TEEN_SPACE,FOOTBALL_FIELD,NATURAL_VENTILATION,AMERICAN_KITCHEN,GATED_COMMUNITY,GUEST_PARKING,RECREATION_AREA,SQUARE,PATROL,PET_SPACE,ADULT_POOL,ELECTRONIC_GATE,PARKING,DISABLED_ACCESS,GRASS,SECURITY_CABIN,CHILDRENS_POOL,INTEGRATED_ENVIRONMENTS,AIR_CONDITIONING,SECURITY_CAMERA,TOYS_PLACE,PLAYGROUND,DINNER_ROOM,GAMES_ROOM,CONCIERGE_24H,PARTY_HALL,SAFETY_CIRCUIT,GOURMET_SPACE,SPORTS_COURT,CINEMA,BACKYARD,COPA,BALCONY,ENTRANCE_HALL,COWORKING,POOL_BAR,GOURMET_BALCONY,PANORAMIC_VIEW,DECK,INTERNET_ACCESS,WATER_TANK,GREEN_SPACE,LAUNDRY,ALARM_SYSTEM,BATHROOM_CABINETS,LARGE_KITCHEN,CLOSET,EMPLOYEE_DEPENDENCY,LARGE_ROOM,DEPOSIT,BUILTIN_WARDROBE,BEDROOM_WARDROBE,FULL_FLOOR,HOME_OFFICE,KITCHEN_CABINETS,SQUASH,TENNIS_COURT,HIGH_CEILING_HEIGHT,PANTRY,BICYCLES_PLACE,RECEPTION,ZEN_SPACE,WHIRLPOOL,MEETING_ROOM,MOUNTAIN_VIEW,SANCA,PRIVATE_POOL,SAUNA,BLINDEX_BOX,COVENTION_HALL,SERVICE_ENTRANCE,MASSAGE_ROOM,SPA,HIKING_TRAIL,SOLAR_ENERGY,SERVICE_BATHROOM,FIREPLACE,SLAB,STAIR,ECO_GARBAGE_COLLECTOR,PAVED_STREET,ELECTRIC_GENERATOR,PLANNED_FURNITURE,MASSAGE,BEAUTY_ROOM,MEZZANINE,ADMINISTRATION,STORES,BARBECUE_BALCONY,CARETAKER,ELETRIC_CHARGER,ARMORED_SECURITY_CABIN,LARGE_WINDOW,SMART_CONDOMINIUM,HEATING,ALUMINUM_WINDOW,LAKE_VIEW,FRUIT_TREES,POMAR,HEATED_POOL,TREE_CLIMBING,GOLF_FIELD,SOUNDPROOFING,COLD_FLOOR,SERVICE_ROOM,LAKE,SEA_VIEW,PIZZA_OVEN,WATCHMAN,BAR,DIGITAL_LOCKER,FENCE,SEMI_OLYMPIC_POOL,CABLE_TV,SAND_PIT,WALL_BALCONY,INDOOR_SOCCER,BEAUTY_CENTER,BATHTUB,SMART_APARTMENT,DRESS_ROOM2,REDARIO,WELL,SIDE_ENTRANCE,SMALL_ROOM,COVERAGE,CARETAKER_HOUSE,COOKER,BARN,SOLARIUM,LAMINATED_FLOOR,VEGETABLE_GARDEN,RESTAURANT,COFFEE_SHOP,CORNER_PROPERTY,REFLECTING_POOL,GEMINADA,GAS_SHOWER,FITNESS_ROOM,WALLS_GRIDS,REVERSIBLE_ROOM,DIVIDERS,RAISED_FLOOR,BACKGROUND_HOUSE,CLIMBING_WALL,DOG_KENNEL,HEADQUARTERS,HALF_FLOOR,RIVER,LIBRARY,LAND,VINYL_FLOOR,HOT_TUB,THERMAL_INSULATION,COVERED_POOL,PLATIBANDA,CHILDREN_CARE,AQUARIUM
2741332293,11/09/2024,AP0905,Bens Imobiliaria E Empreendimentos Ltda - Me,10/07/2025,R$ 930.000,R$ 1.100,R$ 1.500,"Rua Félix Carolino Barbosa - Lauritzen , Campina Grande - PB",250 m²,3 quartos,5 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793509600,02/04/2025,720881008-102,Re/Max Viva Imóveis,10/07/2025,R$ 550.000,R$ 280,R$ 738,"Avenida Marechal Floriano Peixoto - Serrotão , Campina Grande - PB",184 m²,3 quartos,3 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814296716,15/06/2025,AP2899,Negocialle Imovéis Ltda,10/07/2025,R$ 199.990,R$ 120,não informado,"Jardim Paulistano, Campina Grande - PB",64 m²,3 quartos,2 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734816791,13/08/2024,CCDEAVLLGSDEST01,Elsom Mendes,10/07/2025,R$ 295.000,R$ 126,não informado,"Avenida Francisco Lopes de Almeida, 986 - Serrotão , Campina Grande - PB",66 m²,3 quartos,2 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539492301,28/10/2021,DENVER3,Hc Construções,10/07/2025,R$ 238.000,R$ 220,não informado,"Rua Francisco Ernesto do Rego, 1591 - Cruzeiro, Campina Grande - PB",70 m²,3 quartos,2 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739846954,04/09/2024,APFCA_1-3226738,Hamilton Da Costa Agra Neto,10/07/2025,R$ 295.000,R$ 400,não informado,"Rua Fernando Barbosa de Melo, 510 - Sandra Cavalcante , Campina Grande - PB",70 m²,3 quartos,1 banheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751639161,24/10/2024,EcovD,Facilita Imóveis,10/07/2025,R$ 560.000,não informado,não informado,"Rua Manoel Mota, 1913 - Bodocongo, Campina Grande - PB",96 m²,3 quartos,3 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800061231,23/04/2025,KUF0VP,Diego Costa Halule,10/07/2025,R$ 600.000,não informado,não informado,"Rua Salvino de Oliveira Neto, 640 - Jardim Tavares, Campina Grande - PB",125 m²,3 quartos,4 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802380630,01/05/2025,10600VF,Januário,10/07/2025,R$ 345.000,R$ 126,não informado,"Avenida Francisco Lopes de Almeida, 2000 - Malvinas, Campina Grande - PB",75 m²,3 quartos,2 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800880430,26/04/2025,CA0541,Bens Imobiliaria E Empreendimentos Ltda - Me,10/07/2025,R$ 175.000,isento,não informado,"Rua Doutor Raimundo Maia de Oliveira, 1616 - Três Irmãs , Campina Grande - PB",57 m²,2 quartos,1 banheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
